#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2009 01 02 22 40 201  2.6 999 99.0 9999
2009 01 02 22 50 214  2.7 999 99.0 9999
2009 01 02 23 00 230  2.4 180  4.5 2201
2009 01 02 23 10 255  1.9 999 99.0 9999
2009 01 02 23 20 254  2.1 999 99.0 9999
2009 01 02 23 30 281  1.3 999 99.0 9999
2009 01 02 23 40 296  1.6 999 99.0 9999
2009 01 02 23 50 308  2.0 999 99.0 9999
2009 01 03 00 00 301  1.9 245  3.0 2316
2009 01 03 00 10 319  1.7 999 99.0 9999
2009 01 03 00 20 322  1.5 999 99.0 9999
2009 01 03 00 30 331  1.5 999 99.0 9999
2009 01 03 00 40 334  1.1 999 99.0 9999
2009 01 03 00 50   3  0.9 999 99.0 9999
2009 01 03 01 00  81  0.8 323  2.5 0003
2009 01 03 01 10 102  2.1 999 99.0 9999
2009 01 03 01 20 100  1.9 999 99.0 9999
2009 01 03 01 30  82  3.5 999 99.0 9999
2009 01 03 01 40  81  3.0 999 99.0 9999
2009 01 03 01 50  85  3.4 999 99.0 9999
2009 01 03 02 00  78  3.1  73  5.4 0142
2009 01 03 02 10  87  3.0 999 99.0 9999
2009 01 03 02 20  90  2.9 999 99.0 9999
2009 01 03 02 30  87  3.2 999 99.0 9999
2009 01 03 02 40  87  3.2 999 99.0 9999
2009 01 03 02 50  88  3.1 999 99.0 9999
2009 01 03 03 00  83  3.2  95  5.0 0227
2009 01 03 03 10  95  2.6 999 99.0 9999
2009 01 03 03 20  95  2.4 999 99.0 9999
2009 01 03 03 30 108  2.5 999 99.0 9999
2009 01 03 03 40 128  2.8 999 99.0 9999
2009 01 03 03 50 141  4.0 999 99.0 9999
2009 01 03 04 00 206  5.7 206  7.6 0350
2009 01 03 04 10 214  4.9 999 99.0 9999
2009 01 03 04 20 217  4.7 999 99.0 9999
2009 01 03 04 30 207  4.9 999 99.0 9999
2009 01 03 04 40 208  5.2 999 99.0 9999
2009 01 03 04 50 209  5.2 999 99.0 9999
2009 01 03 05 00 198  4.8 203  6.2 0400
2009 01 03 05 10 201  5.6 999 99.0 9999
2009 01 03 05 20 202  5.4 999 99.0 9999
2009 01 03 05 30 212  5.5 999 99.0 9999
2009 01 03 05 40 208  5.2 999 99.0 9999
2009 01 03 05 50 209  5.1 999 99.0 9999
2009 01 03 06 00 202  5.0 199  7.1 0544
2009 01 03 06 10 197  5.5 999 99.0 9999
2009 01 03 06 20 196  5.7 999 99.0 9999
2009 01 03 06 30 196  6.0 999 99.0 9999
2009 01 03 06 40 200  5.6 999 99.0 9999
2009 01 03 06 50 210  6.2 999 99.0 9999
2009 01 03 07 00 217  6.1 216  7.6 0648
2009 01 03 07 10 208  5.9 999 99.0 9999
2009 01 03 07 20 204  6.1 999 99.0 9999
