#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 07 11 00 171  2.1  2.5 99.00 99.00 99.00 999 1024.0   6.4 999.0   6.4 99.0 99.00
2021 01 07 12 00 148  3.8  4.2 99.00 99.00 99.00 999 1024.2   6.5 999.0   6.5 99.0 99.00
2021 01 07 13 00 142  4.8  5.6 99.00 99.00 99.00 999 1024.2   6.7 999.0   6.7 99.0 99.00
2021 01 07 14 00 136  2.2  3.4 99.00 99.00 99.00 999 1024.9   7.0 999.0   7.0 99.0 99.00
2021 01 07 15 00  93  2.3  3.0 99.00 99.00 99.00 999 1025.3   6.9 999.0   6.9 99.0 99.00
2021 01 07 16 00 151  3.3  4.0 99.00 99.00 99.00 999 1025.7   7.4 999.0   6.9 99.0 99.00
2021 01 07 17 00 164  4.7  5.4 99.00 99.00 99.00 999 1025.8   7.8 999.0   7.0 99.0 99.00
2021 01 07 18 00 165  3.5  3.9 99.00 99.00 99.00 999 1025.9   7.8 999.0   7.1 99.0 99.00
2021 01 07 19 00 172  1.4  1.5 99.00 99.00 99.00 999 1025.5   8.1 999.0   7.3 99.0 99.00
2021 01 07 20 00 221  0.9  1.0 99.00 99.00 99.00 999 1024.9   7.8 999.0   7.2 99.0 99.00
2021 01 07 21 00 243  1.1  1.2 99.00 99.00 99.00 999 1024.3   7.7 999.0   7.4 99.0 99.00
2021 01 07 22 00  18  1.3  1.4 99.00 99.00 99.00 999 1023.3   7.9 999.0   7.4 99.0 99.00
2021 01 07 23 00  77  1.8  2.6 99.00 99.00 99.00 999 1022.1   9.0 999.0   7.8 99.0 99.00
2021 01 08 00 00 336  3.4  3.9 99.00 99.00 99.00 999 1021.0   8.1 999.0   7.5 99.0 99.00
2021 01 08 01 00 338  1.4  1.6 99.00 99.00 99.00 999 1020.3   8.2 999.0   7.5 99.0 99.00
2021 01 08 02 00  31  1.1  1.7 99.00 99.00 99.00 999 1019.3   7.2 999.0   6.7 99.0 99.00
2021 01 08 03 00 321  1.4  1.5 99.00 99.00 99.00 999 1018.6   7.1 999.0   7.1 99.0 99.00
2021 01 08 04 00  30  1.1  1.3 99.00 99.00 99.00 999 1017.9   6.8 999.0   6.7 99.0 99.00
2021 01 08 05 00  10  1.2  1.4 99.00 99.00 99.00 999 1017.2   6.6 999.0   6.6 99.0 99.00
2021 01 08 06 00  16  0.3  0.9 99.00 99.00 99.00 999 1016.6   6.4 999.0   6.4 99.0 99.00
2021 01 08 07 00  17  1.3  1.5 99.00 99.00 99.00 999 1016.4   7.1 999.0   6.2 99.0 99.00
2021 01 08 08 00  52  2.9  3.1 99.00 99.00 99.00 999 1016.2   6.9 999.0   5.4 99.0 99.00
2021 01 08 09 00 163  1.5  1.9 99.00 99.00 99.00 999 1015.4   7.5 999.0   3.8 99.0 99.00
2021 01 08 10 00 141  0.7  0.8 99.00 99.00 99.00 999 1015.9   7.0 999.0   5.6 99.0 99.00
2021 01 08 11 00  93  1.4  2.2 99.00 99.00 99.00 999 1016.5   8.5 999.0   4.8 99.0 99.00
2021 01 08 12 00 250  4.0  4.2 99.00 99.00 99.00 999 1016.8   7.9 999.0   5.0 99.0 99.00
2021 01 08 13 00 264  3.4  4.0 99.00 99.00 99.00 999 1017.0   7.4 999.0   5.9 99.0 99.00
2021 01 08 14 00 260  5.6  6.6 99.00 99.00 99.00 999 1017.8   7.4 999.0   6.3 99.0 99.00
2021 01 08 15 00 235  2.5  3.1 99.00 99.00 99.00 999 1018.9   6.6 999.0   6.1 99.0 99.00
2021 01 08 16 00 233  1.4  1.6 99.00 99.00 99.00 999 1020.3   6.3 999.0   6.0 99.0 99.00
2021 01 08 17 00 201  2.0  2.2 99.00 99.00 99.00 999 1021.4   6.4 999.0   6.2 99.0 99.00
2021 01 08 18 00 153  1.2  1.6 99.00 99.00 99.00 999 1022.4   6.7 999.0   6.5 99.0 99.00
2021 01 08 19 00 147  0.1  0.2 99.00 99.00 99.00 999 1023.2   6.7 999.0   6.3 99.0 99.00
2021 01 08 20 00  25  1.6  1.8 99.00 99.00 99.00 999 1024.0   7.0 999.0   6.7 99.0 99.00
2021 01 08 21 00   5  4.0  4.4 99.00 99.00 99.00 999 1024.9   6.6 999.0   6.6 99.0 99.00
2021 01 08 22 00  71  2.0  2.4 99.00 99.00 99.00 999 1025.1   6.7 999.0   6.7 99.0 99.00
2021 01 08 23 00  93  2.2  3.0 99.00 99.00 99.00 999 1026.1   7.3 999.0   6.7 99.0 99.00
2021 01 09 00 00  52  1.3  1.7 99.00 99.00 99.00 999 1026.5   6.9 999.0   5.4 99.0 99.00
2021 01 09 01 00 157  1.2  1.3 99.00 99.00 99.00 999 1027.5   6.6 999.0   5.6 99.0 99.00
2021 01 09 02 00 263  1.8  2.0 99.00 99.00 99.00 999 1028.5   6.8 999.0   6.6 99.0 99.00
2021 01 09 03 00 219  0.2  0.3 99.00 99.00 99.00 999 1029.4   6.2 999.0   6.2 99.0 99.00
2021 01 09 04 00 164  0.8  0.9 99.00 99.00 99.00 999 1030.0   5.9 999.0   5.9 99.0 99.00
2021 01 09 05 00 149  1.9  2.1 99.00 99.00 99.00 999 1030.4   6.3 999.0   6.3 99.0 99.00
2021 01 09 06 00 149  1.9  2.2 99.00 99.00 99.00 999 1030.6   6.2 999.0   6.2 99.0 99.00
2021 01 09 07 00 139  1.3  1.6 99.00 99.00 99.00 999 1031.0   5.7 999.0   5.7 99.0 99.00
2021 01 09 08 00 138  1.4  1.8 99.00 99.00 99.00 999 1031.2   5.3 999.0   5.3 99.0 99.00
2021 01 09 09 00 127  0.5  0.7 99.00 99.00 99.00 999 1030.7   4.6 999.0   4.6 99.0 99.00
2021 01 09 10 00  98  1.5  1.9 99.00 99.00 99.00 999 1030.6   4.3 999.0   4.3 99.0 99.00
2021 01 09 11 00  38  1.9  2.2 99.00 99.00 99.00 999 1030.5   3.4 999.0   3.4 99.0 99.00
2021 01 09 12 00  55  2.4  3.0 99.00 99.00 99.00 999 1030.3   3.2 999.0   3.2 99.0 99.00
2021 01 09 13 00  18  0.4  0.7 99.00 99.00 99.00 999 1029.8   3.5 999.0   3.5 99.0 99.00
2021 01 09 14 00  37  1.7  2.0 99.00 99.00 99.00 999 1029.0   2.7 999.0   2.7 99.0 99.00
2021 01 09 15 00 127  1.1  1.6 99.00 99.00 99.00 999 1028.9   1.7 999.0   1.7 99.0 99.00
2021 01 09 16 00 354  0.7  1.2 99.00 99.00 99.00 999 1028.6   2.5 999.0   2.5 99.0 99.00
2021 01 09 17 00  87  1.8  2.5 99.00 99.00 99.00 999 1028.3   2.0 999.0   2.0 99.0 99.00
2021 01 09 18 00 134  1.2  1.6 99.00 99.00 99.00 999 1027.9   2.5 999.0   2.5 99.0 99.00
2021 01 09 19 00 203  0.6  0.8 99.00 99.00 99.00 999 1027.0   3.1 999.0   3.1 99.0 99.00
2021 01 09 20 00   0  0.0  0.0 99.00 99.00 99.00 999 1026.0   3.7 999.0   3.7 99.0 99.00
2021 01 09 21 00 308  0.3  0.7 99.00 99.00 99.00 999 1024.5   4.3 999.0   3.3 99.0 99.00
2021 01 09 22 00 359  0.2  0.3 99.00 99.00 99.00 999 1023.3   4.9 999.0   2.8 99.0 99.00
2021 01 09 23 00  25  1.2  1.4 99.00 99.00 99.00 999 1022.5   5.2 999.0   4.2 99.0 99.00
2021 01 10 00 00  46  2.0  2.4 99.00 99.00 99.00 999 1022.3   5.6 999.0   5.0 99.0 99.00
2021 01 10 01 00  38  1.2  1.4 99.00 99.00 99.00 999 1021.8   6.2 999.0   4.0 99.0 99.00
2021 01 10 02 00 149  1.2  1.3 99.00 99.00 99.00 999 1021.2   6.4 999.0   4.1 99.0 99.00
2021 01 10 03 00 159  1.5  1.6 99.00 99.00 99.00 999 1021.3   6.4 999.0   4.8 99.0 99.00
2021 01 10 04 00 195  3.0  3.4 99.00 99.00 99.00 999 1020.5   7.8 999.0   3.4 99.0 99.00
2021 01 10 05 00 164  2.0  2.9 99.00 99.00 99.00 999 1019.7   7.3 999.0   4.5 99.0 99.00
2021 01 10 06 00 267  2.0  2.4 99.00 99.00 99.00 999 1019.5   7.2 999.0   4.1 99.0 99.00
